Time	Target_Speed	Vehicle_COM_Speed	Long_Slip	Long_Tire_Force	Brake_Torque	Wheel_Omega	Spindle_Omega	Wheel_Torque	
+2.000000	+26.820000	+0.024170	+2.879016	-74.310891	+21.491999	+0.034562	-0.034562	-13.501031	
+2.002000	+26.820000	+0.024137	+2.933023	-66.758431	+21.444394	+0.032667	-0.032667	-12.326844	
+2.004000	+26.820000	+0.024101	+2.787630	-60.610408	+0.000000	+0.029228	-0.029228	-11.090023	
+2.006000	+26.820000	+0.024092	+2.447909	-56.235236	+0.000000	+0.025507	-0.025507	-30.020419	
+2.008000	+26.820000	+0.024077	+2.069984	-53.036100	+0.000000	+0.021051	-0.021051	-28.603218	
+2.010000	+26.820000	+0.024056	+1.552980	-51.555721	+0.000000	+0.016471	-0.016471	-27.099002	
+2.012000	+26.820000	+0.024027	+0.983988	-51.559675	+0.000000	+0.012400	-0.012400	-25.246524	
+2.014000	+26.820000	+0.023999	+0.536567	-52.273517	+0.000000	+0.009473	-0.009473	-23.256608	
+2.016000	+26.820000	+0.023967	+0.161393	-53.436417	+0.000000	+0.008211	-0.008211	-21.174652	
+2.018000	+26.820000	+0.023934	+0.022402	-53.958002	+0.000000	+0.008974	-0.008974	-18.914978	
+2.020000	+26.820000	+0.023903	+0.138902	-53.172407	+0.000000	+0.011928	-0.011928	-16.618119	
+2.022000	+26.820000	+0.023872	+0.556301	-50.302385	+0.000000	+0.016979	-0.016979	-14.193756	
+2.024000	+26.820000	+0.023840	+1.288332	-44.791374	+0.000000	+0.023799	-0.023799	-11.682420	
+2.026000	+26.820000	+0.023807	+2.369086	-36.252479	+0.000000	+0.031836	-0.031835	-9.071253	
+2.028000	+26.820000	+0.023771	+3.713801	-24.763202	+0.000000	+0.040355	-0.040355	-6.373858	
+2.030000	+26.820000	+0.023729	+5.282553	-10.567493	+0.000000	+0.048522	-0.048522	-3.571874	
+2.032000	+26.820000	+0.023679	+6.938749	+5.733531	+0.000000	+0.055480	-0.055480	-0.718993	
+2.034000	+26.820000	+0.023620	+8.405501	+23.262898	+0.000000	+0.060443	-0.060443	+2.176920	
+2.036000	+26.820000	+0.023552	+9.526098	+41.058804	+0.000000	+0.062779	-0.062779	+5.083295	
+2.038000	+26.820000	+0.023472	+9.935434	+58.001689	+0.000000	+0.062086	-0.062086	+7.952228	
+2.040000	+26.820000	+0.023382	+9.616493	+73.089002	+0.000000	+0.058247	-0.058247	+10.775905	
+2.042000	+26.820000	+0.023280	+8.467912	+85.355306	+0.000000	+0.051444	-0.051444	+13.501979	
+2.044000	+26.820000	+0.023171	+6.978769	+94.227766	+0.000000	+0.042183	-0.042183	+16.157880	
+2.046000	+26.820000	+0.023055	+5.072378	+99.155885	+0.000000	+0.031221	-0.031221	+18.685514	
+2.048000	+26.820000	+0.022934	+3.131224	+100.059342	+0.000000	+0.019522	-0.019522	+21.131999	
+2.050000	+26.820000	+0.022813	+1.405693	+97.287477	+0.000000	+0.008171	-0.008171	+23.434978	
+2.052000	+26.820000	+0.022693	-0.065499	+91.255407	+0.000000	-0.001730	+0.001730	+25.589951	
+2.054000	+26.820000	+0.022576	-1.186232	+82.549343	+0.000000	-0.009181	+0.009181	+27.597210	
+2.056000	+26.820000	+0.022466	-1.939045	+72.834486	+0.000000	-0.013356	+0.013356	+29.400265	
+2.058000	+26.820000	+0.022360	-2.308497	+63.539329	+0.000000	-0.013669	+0.013669	+30.921145	
+2.060000	+26.820000	+0.022260	-2.318851	+56.268828	+0.000000	-0.009963	+0.009963	+32.254206	
+2.062000	+26.820000	+0.022165	-1.953136	+52.164897	+0.000000	-0.002494	+0.002494	+33.427566	
+2.064000	+26.820000	+0.022072	-1.238891	+52.226443	+0.000000	+0.008062	-0.008062	+34.527110	
+2.066000	+26.820000	+0.021980	-0.219105	+57.061829	+0.000000	+0.020677	-0.020677	+35.541916	
+2.068000	+26.820000	+0.021887	+1.040125	+66.348986	+0.000000	+0.034051	-0.034051	+36.516656	
+2.070000	+26.820000	+0.021789	+2.423004	+79.609571	+0.000000	+0.046710	-0.046710	+37.461485	
+2.072000	+26.820000	+0.021683	+3.776066	+95.908542	+0.000000	+0.057229	-0.057229	+38.314086	
+2.074000	+26.820000	+0.021570	+4.897912	+113.848235	+0.000000	+0.064207	-0.064207	+38.924405	
+2.076000	+26.820000	+0.021447	+5.565243	+131.718125	+0.000000	+0.066502	-0.066502	+39.261227	
+2.078000	+26.820000	+0.021316	+5.634848	+147.712771	+0.000000	+0.063471	-0.063471	+39.418470	
+2.080000	+26.820000	+0.021177	+5.062797	+160.120362	+0.000000	+0.055001	-0.055001	+39.406152	
+2.082000	+26.820000	+0.021034	+3.963329	+167.497472	+0.000000	+0.041552	-0.041552	+39.255035	
+2.084000	+26.820000	+0.020888	+2.480131	+168.677002	+0.000000	+0.024113	-0.024113	+38.978466	
+2.086000	+26.820000	+0.020744	+0.889214	+163.198349	+0.000000	+0.004137	-0.004137	+38.604126	
+2.088000	+26.820000	+0.020604	-0.699422	+149.746462	+0.000000	-0.016582	+0.016582	+38.121959	
